,trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
11,20241216,000016.SZ,深康佳Ａ,家用电器,深圳,0.0,15.97,24.08,325.31,130.06,50.6,5.02,0.21,-0.67,1.68,3.02,19920327,-1.08,-0.04,-45.42,-124.67,6.27,-22.97,180278
12,20241216,000017.SZ,深中华A,服饰,深圳,508.39,3.03,6.89,3.72,3.63,0.02,7.8,1.13,0.01,0.46,15.9,19920331,-11.85,-1.72,-19.81,46.86,6.64,2.48,59368
13,20241216,000019.SZ,深粮控股,农业综合,深圳,25.06,4.16,11.53,72.21,40.76,21.07,12.61,1.09,0.21,4.2,1.69,19921012,19.41,1.68,-15.12,-10.82,17.45,6.4,43450
14,20241216,000020.SZ,深华发Ａ,元器件,深圳,215.61,1.81,2.83,6.59,4.21,1.54,1.47,0.52,0.05,1.35,10.74,19920428,-1.26,-0.44,0.74,14.45,11.99,2.35,32037
15,20241216,000021.SZ,深科技,元器件,深圳,34.05,15.6,15.61,291.54,167.24,49.81,23.37,1.5,0.42,7.41,2.6,19940202,60.78,3.89,-1.09,48.12,16.6,7.48,216066
16,20241216,000025.SZ,特 力Ａ,综合类,深圳,54.65,3.93,4.31,25.11,9.98,0.72,4.31,1.0,0.25,3.94,4.64,19930621,7.8,1.81,69.38,46.64,8.87,5.39,55434
17,20241216,000026.SZ,飞亚达,服饰,深圳,17.48,3.63,4.06,41.89,31.17,3.4,9.36,2.31,0.48,8.31,1.37,19930603,17.45,4.3,-13.82,-25.58,37.16,6.5,26962
18,20241216,000027.SZ,深圳能源,火力发电,深圳,11.08,47.57,47.57,1635.67,400.26,631.98,46.59,0.98,0.38,6.33,1.04,19930903,149.44,3.14,3.61,-29.79,22.03,9.01,125672
19,20241216,000028.SZ,国药一致,医药商业,深圳,11.78,4.78,5.57,519.81,406.78,8.18,42.61,7.66,1.91,32.52,0.92,19930809,129.99,23.36,-0.21,-10.43,10.87,1.94,32954
20,20241216,000029.SZ,深深房Ａ,区域地产,深圳,2437.18,8.92,10.12,64.6,58.67,0.18,9.78,0.97,0.005,3.66,4.41,19930915,14.06,1.39,-41.23,113.78,19.43,2.01,54508
21,20241216,000030.SZ,富奥股份,汽车配件,吉林,16.04,16.92,17.42,168.66,82.47,30.19,4.93,0.28,0.26,4.43,1.23,19930929,48.08,2.76,4.83,16.15,11.83,5.24,33245
22,20241216,000031.SZ,大悦城,全国地产,深圳,0.0,40.03,42.86,1908.57,1369.56,30.55,85.81,2.0,-0.14,3.07,1.31,19931008,-4.51,-0.11,-1.07,-16.72,24.38,1.44,101272
23,20241216,000032.SZ,深桑达Ａ,建筑工程,深圳,0.0,6.45,11.38,658.05,546.45,48.66,34.19,3.0,-0.11,5.32,3.37,19931028,11.75,1.03,25.21,53.07,9.13,0.07,62751
24,20241216,000034.SZ,神州数码,软件服务,深圳,18.81,5.53,6.7,449.69,357.71,7.21,41.97,6.27,1.38,13.83,2.42,19940509,41.64,6.22,8.81,5.04,4.49,1.0,79369
